name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
wadi run jordan,2008-09-01,37.1,22.6,30.5,38.2,22.6,31.2,17.7,48.71,0,,0,,,,,32.8,206.6,1006.8,2.6,8.7,,,0,,2008-09-01T06:15:39,2008-09-01T19:00:22,0.02,Clear,Clear conditions throughout the day.,wind,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-02,36,21.6,30,37.7,21.6,31.1,18.7,52.29,0,,0,,,,,31.3,210.3,1008.1,13.6,8.1,,,0,,2008-09-02T06:16:11,2008-09-02T18:59:12,0.04,Clear,Clear conditions throughout the day.,wind,"40199099999,40198099999,40340099999,62465599999"
wadi run jordan,2008-09-03,35.9,23.1,30.1,36.6,23.1,30.6,17.5,48.54,0,,0,,,,,33.6,192,1007.8,2.4,8.2,,,0,,2008-09-03T06:16:43,2008-09-03T18:58:01,0.07,Clear,Clear conditions throughout the day.,wind,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-04,37.3,21.6,30.4,38.8,21.6,30.9,17.2,46.97,0,,0,,,,,29.7,175.8,1006.5,8.6,8.4,,,0,,2008-09-04T06:17:14,2008-09-04T18:56:50,0.11,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-05,38.9,21.6,31.4,42.3,21.6,32.9,18.8,49.27,0,,0,,,,,23.1,181.3,1006.3,12.4,8,,,0,,2008-09-05T06:17:46,2008-09-05T18:55:38,0.15,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-06,39.3,25.1,32.4,43.1,25.1,34.3,19.5,48.66,0,,0,,,,,24.9,178.7,1004.8,7.9,8.2,,,0,,2008-09-06T06:18:17,2008-09-06T18:54:26,0.2,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-07,39,24.1,32,42.3,24.1,33.4,18.3,45.86,2,,4.17,,,,,26.2,210.7,1004.2,11.3,8.3,,,0,,2008-09-07T06:18:49,2008-09-07T18:53:14,0.25,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-08,38.7,23.1,31.5,39.7,23.1,31.5,14.9,38.13,0,,0,,,,,22.1,249.1,1004.7,0.2,9.4,,,0,,2008-09-08T06:19:20,2008-09-08T18:52:01,0.29,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-09,37,23.1,30.2,35.1,23.1,29.4,12.6,36.91,0,,0,,,,,22.1,236.4,1006.4,0.3,9.3,,,0,,2008-09-09T06:19:52,2008-09-09T18:50:49,0.34,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-10,36.7,20.1,29.7,34.9,20.1,29,13.2,39.42,0,,0,,,,,21.9,172.1,1006.8,0,9.2,,,0,,2008-09-10T06:20:23,2008-09-10T18:49:35,0.38,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-11,38.9,21.1,30.4,36.7,21.1,29.3,9,28.75,0,,0,,,,,17.1,222.6,1006.2,0,9.8,,,0,,2008-09-11T06:20:54,2008-09-11T18:48:22,0.42,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-12,38.2,21.1,30.2,36.4,21.1,29.4,10.1,30.12,0,,0,,,,,19.1,227.7,1005.4,0.1,9.5,,,0,,2008-09-12T06:21:26,2008-09-12T18:47:08,0.45,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-13,35.8,22.1,29.7,34,22.1,28.8,12.5,39.43,0,,0,,,,,21.3,273.6,1008.2,0.9,9.6,,,0,,2008-09-13T06:21:57,2008-09-13T18:45:55,0.48,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-14,34.8,19.6,29.2,32.8,19.6,28.2,10.5,33.54,0,,0,,,,,18.2,242.8,1010.7,0,9.5,,,0,,2008-09-14T06:22:28,2008-09-14T18:44:41,0.5,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-15,37.3,22,29.4,34.8,22,28.5,10.7,35.23,0,,0,,,,,22.2,222.8,1009.5,0,9.7,,,0,,2008-09-15T06:23:00,2008-09-15T18:43:27,0.5,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-16,38,21.8,30.2,36.9,21.8,29.7,13.7,40.41,0,,0,,,,,23.6,195,1006,0,9.5,,,0,,2008-09-16T06:23:31,2008-09-16T18:42:13,0.51,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-17,38.3,23.1,31.1,36.9,23.1,30.4,13.2,37.79,0,,0,,,,,30.2,227.3,1006.4,0,9.2,,,0,,2008-09-17T06:24:02,2008-09-17T18:40:59,0.53,Clear,Clear conditions throughout the day.,wind,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-09-18,37.3,20.6,30,35,20.6,29.1,11.2,33.95,0,,0,,,,,28.6,267.9,1007.5,0,9.2,,,0,,2008-09-18T06:24:34,2008-09-18T18:39:44,0.56,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
