name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
wadi run jordan,2008-01-01,21.7,6.6,14.1,21.7,6.6,13.9,1.4,43.23,0,,0,,,,,13.9,127.4,1011.9,44.7,9.5,,,0,,2008-01-01T06:33:13,2008-01-01T16:50:03,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-01-02,20.9,6.1,13.4,20.9,5.7,13.3,0.7,44.22,0,,0,,,,,13.2,276.6,1014.2,5.5,9.7,,,0,,2008-01-02T06:33:28,2008-01-02T16:50:45,0.86,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-01-03,19,4.1,11.6,19,1.7,11.4,1.1,49.98,0,,0,,,,,17.5,289.6,1016.3,6.9,10,,,0,,2008-01-03T06:33:41,2008-01-03T16:51:28,0.9,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-01-04,18.9,5.1,12.5,18.9,5.1,12.5,4.2,58.95,0,,0,,,,,16.5,242,1019.8,22.4,10.2,,,0,,2008-01-04T06:33:53,2008-01-04T16:52:12,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-01-05,17.8,6.6,12.9,17.8,6.6,12.9,4.4,58.04,0,,0,,,,,19.6,320.9,1022.9,29.9,10.3,,,0,,2008-01-05T06:34:03,2008-01-05T16:52:56,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-01-06,17.9,5.6,11.5,17.9,4.2,11,2.6,57.2,0,,0,,,,,19.7,175.1,1022.7,12.6,9.6,,,0,,2008-01-06T06:34:12,2008-01-06T16:53:42,0.99,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-01-07,16.6,2,9.7,16.6,-1.3,9.1,0,54.26,0,,0,,,,,16.6,171.5,1020.4,2.3,9.6,,,0,,2008-01-07T06:34:19,2008-01-07T16:54:28,1,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-01-08,18.4,3.1,10.6,18.4,0.7,10.1,1.5,55.06,0,,0,,,,,16.1,183.5,1018.2,1,9.9,,,0,,2008-01-08T06:34:25,2008-01-08T16:55:15,0,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-01-09,19.7,4.1,12.5,19.7,1.7,12.2,4.7,61.07,0,,0,,,,,25.8,139.1,1015.2,23.5,9.3,,,0,,2008-01-09T06:34:28,2008-01-09T16:56:02,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40199099999,40198099999,40340099999,40310099999,62465599999"
wadi run jordan,2008-01-10,12.6,8.7,11,12.6,6.1,10.7,7.7,80.74,0,,0,,,,,31.2,163,1013.9,44.8,6.9,,,0,,2008-01-10T06:34:31,2008-01-10T16:56:50,0.02,Partially cloudy,Partly cloudy throughout the day.,wind,"40199099999,40198099999,40340099999,40310099999"
